saas_user_id,username,discord_tag,discord_uid,role,tenant_id
1,keimaru,,,STAFF,
2,yukimikei,yukimikei,410049336639094784,ADMIN,30ae46b4-be38-42a9-840e-21f711115471
4,kaede_0308,kaede_0308,358418240663322656,STAFF,30ae46b4-be38-42a9-840e-21f711115471
5,tnatyu,tnatyu,171640739208364036,ADMIN,30ae46b4-be38-42a9-840e-21f711115471
6,mikazeshion,mikazeshion,295964021319008257,STAFF,30ae46b4-be38-42a9-840e-21f711115471
7,.bakuren,.bakuren,396309376672989194,CONSUMER,
8,185,185,279972441173000192,CONSUMER,
9,takuya_999,takuya_999,1427191267061792789,STAFF,
10,siratori,siratori,278041497016991746,ADMIN,30ae46b4-be38-42a9-840e-21f711115471
11,motsuya138,motsuya138,168675472534798336,CONSUMER,
12,taka0750,taka0750,1181545215253807104,CONSUMER,
13,riz_02,riz_02,384262190993113088,STAFF,30ae46b4-be38-42a9-840e-21f711115471
14,orikasayom,orikasayom,685213336945819740,CONSUMER,
15,mhrb4563,mhrb4563,337082337227571200,CONSUMER,
16,siro_m,siro_m,252423294169513984,STAFF,30ae46b4-be38-42a9-840e-21f711115471
18,agi7171,agi7171,302968593866424332,STAFF,30ae46b4-be38-42a9-840e-21f711115471
21,ebipon0414,ebipon0414,1072723883913920552,CONSUMER,
22,citrus_vrc,citrus_vrc,1230310005740142615,CONSUMER,
23,2tail,2tail,332338652111962112,STAFF,30ae46b4-be38-42a9-840e-21f711115471
24,yuppy_creater,yuppy_creater,780032090107674644,STAFF,30ae46b4-be38-42a9-840e-21f711115471
25,.teavirus,.teavirus,673052590740865035,CONSUMER,
26,saneatsu03,saneatsu03,489798959787802633,CONSUMER,
27,poliphonica,poliphonica,297926216500117505,CONSUMER,
28,usamaru6090,usamaru6090,812928114665324544,CONSUMER,
